Date,Price,Open,High,Low,Vol.,Change %
2022/04/02,85.7,85.98,85.98,85.98,,-0.10%
2022/03/02,85.79,85.975,85.99,85.895,0.01K,-0.01%
2022/02/02,85.8,85.975,86,85.9,0.01K,-0.17%
2022/01/02,85.95,85.975,85.975,85.975,,0.17%
01/31/2022,85.8,85.975,86,85.9,0.01K,-0.07%
01/27/2022,85.86,85.975,85.98,85.93,0.01K,0.00%
01/26/2022,85.86,85.975,85.985,85.93,0.01K,0.00%
01/25/2022,85.86,85.975,85.995,85.93,0.01K,0.07%
01/24/2022,85.8,85.975,86,85.9,0.01K,-0.07%
01/20/2022,85.86,85.975,85.985,85.93,0.01K,0.00%
01/19/2022,85.86,85.975,85.98,85.93,0.01K,0.14%
01/18/2022,85.74,85.975,85.99,85.87,0.01K,-0.24%
01/17/2022,85.95,85.975,85.975,85.975,,0.16%
01/13/2022,85.81,85.975,85.985,85.905,0.01K,-0.06%
2022/12/01,85.86,85.975,85.985,85.9,0.01K,0.07%
2022/11/01,85.8,85.975,85.985,85.9,0.01K,0.00%
2022/10/01,85.8,85.975,85.99,85.845,0.01K,0.13%
2022/07/01,85.69,85.935,85.945,85.85,0.00K,-0.20%
2022/06/01,85.86,85.775,85.98,85.775,0.01K,0.34%
2022/05/01,85.57,85.795,85.81,85.685,0.01K,-0.15%
2022/04/01,85.7,85.775,85.805,85.75,0.01K,0.09%
2022/03/01,85.62,85.775,85.82,85.71,0.01K,0.00%
12/30/2021,85.62,85.775,85.81,85.71,0.01K,0.00%
12/29/2021,85.62,85.775,85.81,85.71,0.01K,-0.09%
12/28/2021,85.7,85.795,85.825,85.75,0.01K,0.00%
12/27/2021,85.7,85.775,85.825,85.75,0.01K,0.15%
12/24/2021,85.57,85.7,85.7,85.7,,-0.06%
12/23/2021,85.62,85.72,85.805,85.71,0.01K,-0.09%
12/22/2021,85.7,85.795,85.81,85.71,0.01K,0.09%
12/21/2021,85.62,85.775,85.81,85.71,0.01K,-0.09%
12/20/2021,85.7,85.795,85.835,85.75,0.00K,0.39%
12/17/2021,85.37,85.81,85.815,85.78,0.00K,-0.18%
12/16/2021,85.52,85.86,85.885,85.815,0.00K,-0.21%
12/15/2021,85.7,85.775,85.805,85.75,0.01K,0.16%
12/14/2021,85.56,85.795,85.925,85.68,0.01K,-0.06%
12/13/2021,85.61,85.775,85.925,85.65,0.01K,0.13%
2021/10/12,85.5,85.725,85.81,85.68,0.00K,-0.19%
2021/09/12,85.66,85.795,85.825,85.73,0.01K,0.11%
2021/08/12,85.57,85.715,85.925,85.685,0.01K,-0.11%
2021/07/12,85.66,85.795,85.925,85.705,0.01K,0.06%
2021/06/12,85.61,85.795,85.925,85.705,0.01K,0.20%
2021/03/12,85.44,85.755,85.905,85.625,0.00K,-0.21%
2021/02/12,85.62,85.775,85.925,85.71,0.01K,0.01%
2021/01/12,85.61,85.795,85.925,85.705,0.01K,0.00%
11/30/2021,85.61,85.775,85.925,85.705,0.01K,-0.01%
11/29/2021,85.62,85.795,86.4,85.71,0.01K,-0.02%
11/26/2021,85.64,85.715,86.305,85.715,0.00K,-0.17%
11/25/2021,85.79,85.975,85.975,85.775,0.00K,0.11%
11/24/2021,85.7,85.925,85.925,85.75,0.01K,0.12%
11/23/2021,85.6,85.795,85.975,85.7,0.01K,-0.01%
11/22/2021,85.61,85.775,85.925,85.705,0.01K,-0.63%
11/19/2021,86.155,86.14,86.155,86.14,0.00K,0.68%
11/18/2021,85.57,85.775,85.925,85.685,0.01K,0.01%
11/17/2021,85.56,85.795,85.83,85.68,0.01K,-0.16%
11/16/2021,85.7,85.775,85.83,85.75,0.01K,-0.10%
11/15/2021,85.79,85.775,85.795,85.775,0.01K,0.26%
2021/12/11,85.57,85.735,85.985,85.69,0.01K,-0.21%
2021/11/11,85.75,85.825,85.825,85.775,0.00K,0.11%
2021/10/11,85.66,85.745,85.8,85.705,0.01K,0.12%
2021/09/11,85.56,85.745,85.825,85.655,0.01K,-0.04%
2021/08/11,85.59,85.725,85.95,85.545,0.01K,0.23%
2021/05/11,85.39,85.775,85.79,85.73,0.00K,-0.21%
2021/04/11,85.57,85.775,85.81,85.615,0.01K,0.05%
2021/03/11,85.53,85.925,85.925,85.615,0.01K,-0.08%
2021/02/11,85.6,85.675,85.74,85.585,0.01K,0.15%
2021/01/11,85.47,85.675,85.735,85.585,0.01K,0.07%
10/29/2021,85.41,85.66,85.81,85.585,,-0.18%
10/28/2021,85.56,85.925,85.925,85.58,0.01K,0.06%
10/27/2021,85.51,85.645,85.925,85.57,0.01K,-0.05%
10/26/2021,85.55,85.625,85.925,85.6,0.01K,0.08%
10/25/2021,85.48,85.625,85.925,85.565,0.01K,0.26%
10/22/2021,85.26,85.69,85.77,85.515,0.00K,-0.27%
10/21/2021,85.49,85.645,85.89,85.43,0.01K,0.27%
10/20/2021,85.26,85.675,85.675,85.665,0.00K,-0.11%
10/19/2021,85.35,85.615,85.72,85.485,0.02K,-0.12%
10/18/2021,85.45,85.645,85.71,85.55,0.01K,0.45%
10/15/2021,85.07,85.64,85.655,85.585,0.00K,-0.33%
10/14/2021,85.35,85.625,85.825,85.495,0.01K,0.01%
10/13/2021,85.34,85.925,85.95,85.495,0.01K,0.12%
2021/12/10,85.24,85.775,85.85,85.4,0.02K,-0.36%
2021/11/10,85.55,85.625,85.625,85.575,0.01K,0.41%
2021/08/10,85.2,85.565,85.565,85.565,,-0.20%
2021/07/10,85.37,85.875,85.95,85.485,0.01K,-0.11%
2021/06/10,85.46,85.76,85.965,85.475,0.01K,-0.08%
2021/05/10,85.53,85.64,85.825,85.475,0.01K,0.34%
2021/04/10,85.24,85.475,85.66,85.37,0.01K,-0.02%
2021/01/10,85.26,85.725,85.765,85.64,0.00K,-0.40%
09/30/2021,85.6,85.475,85.66,85.465,0.01K,0.36%
09/29/2021,85.29,85.65,85.695,85.295,0.01K,0.24%
09/28/2021,85.09,85.545,85.68,85.245,0.02K,0.40%
09/27/2021,84.75,85.46,85.575,84.98,0.01K,0.17%
09/24/2021,84.61,85.16,85.17,85.095,0.00K,-0.35%
09/23/2021,84.91,85.275,85.49,85.105,0.01K,-0.32%
09/22/2021,85.18,85.275,85.395,85.24,0.01K,0.24%
09/21/2021,84.98,85.275,85.395,85.14,0.02K,0.41%
09/20/2021,84.63,85.31,85.345,84.94,0.01K,-0.13%
09/17/2021,84.74,85.275,85.3,85.105,0.00K,-0.60%
09/16/2021,85.25,85.175,85.315,85.14,0.01K,0.60%
09/15/2021,84.74,85.225,85.315,84.97,0.01K,-0.54%
09/14/2021,85.2,85.175,85.24,85.115,0.01K,0.26%
09/13/2021,84.98,85.2,85.235,85.09,0.01K,0.58%
2021/10/09,84.49,85.025,85.035,84.95,0.00K,-0.38%
2021/09/09,84.81,85.175,85.22,85.005,0.01K,0.00%
2021/08/09,84.81,85.175,85.245,85.005,0.01K,0.32%
2021/07/09,84.54,85.175,85.27,84.87,0.01K,-0.72%
2021/06/09,85.15,85.175,85.225,85.175,0.01K,0.20%
2021/02/09,84.98,85.175,85.235,85.09,0.01K,0.40%
2021/01/09,84.64,85.15,85.24,84.92,0.01K,-0.46%
08/31/2021,85.03,85.35,85.35,85.14,0.01K,0.40%
08/30/2021,84.69,85.25,85.27,85.08,0.00K,-0.26%
08/27/2021,84.91,85.275,85.285,85.19,0.00K,-0.40%
08/26/2021,85.25,85.15,85.36,85.14,0.02K,0.54%
08/25/2021,84.79,85.125,85.405,84.97,0.01K,0.06%
08/24/2021,84.74,85.225,85.355,84.945,0.01K,-0.08%
08/23/2021,84.81,85.075,85.27,84.955,0.01K,0.39%
08/20/2021,84.48,85.085,85.105,84.97,0.00K,-0.47%
08/19/2021,84.88,84.9,85.185,84.765,0.01K,0.35%
08/18/2021,84.58,84.94,85.055,84.77,0.01K,0.00%
08/17/2021,84.58,84.87,85.12,84.63,0.01K,0.26%
08/16/2021,84.36,84.82,85.08,84.46,0.02K,0.33%
08/13/2021,84.08,84.66,84.66,84.61,0.00K,-0.20%
2021/12/08,84.25,84.82,84.965,84.545,0.01K,-0.09%
2021/11/08,84.33,84.83,84.95,84.585,0.01K,-0.17%
2021/10/08,84.47,84.82,84.96,84.65,0.01K,-0.01%
